id,name,skin,ingredients,price
5863,UltraSmooth 45,Todo tipo,"Peptidos, Ácido Hialurónico, Extracto de Té Verde, Glicerina",37.88
5864,BrightFix 18,Mixta,"Peptidos, Vitamina C, Aloe Vera",51.72
5865,Silky Touch 253,Normal,"Agua Termal, Niacinamida, Pantenol",102.12
5866,OilControl 261,Normal,"Zinc, Niacinamida",23.02
5867,Silky Touch 63,Seca,"Agua Termal, Aloe Vera, Ácido Hialurónico, Manteca de Karité",135.52
5868,RegenX 138,Acneica,"Agua Termal, Vitamina C, Ácido Hialurónico",16.65
5869,NightCare 16,Sensible,"Ácido Ferúlico, Agua Termal, Niacinamida",155.75
5870,Radiant Day 22,Mixta,"Niacinamida, Manteca de Karité",124.46
5871,CeraPlus 42,Normal,"Ácido Láctico, Ácido Hialurónico, Pantenol, Ácido Salicílico",142.31
5872,Radiant Day 61,Todo tipo,"Avena Coloidal, Urea, Glicerina",55.56
5873,Fresh Dew 149,Acneica,"Manteca de Karité, Ácido Láctico, Glicerina",131.33
5874,SunShield 28,Todo tipo,"Ácido Láctico, Urea, Aloe Vera",43.05
5875,SkinPure 186,Todo tipo,"Aceite de Jojoba, Vitamina C, Pantenol, Ceramidas",143.67
5876,AgeDefy 41,Todo tipo,"Extracto de Té Verde, Vitamina C, Manteca de Karité, Ácido Hialurónico",50.13
5877,SunShield 286,Sensible,"Manteca de Karité, Glicerina, Avena Coloidal",136.83
5878,NightCare 84,Todo tipo,"Avena Coloidal, Ácido Láctico",88.68
5879,NightCare 227,Sensible,"Retinol, Manteca de Karité, Ácido Ferúlico, Ácido Láctico",20.65
5880,NutriGlow 148,Normal,"Ácido Hialurónico, Urea, Ácido Láctico, Retinol",14.83
5881,DermaFix 194,Acneica,"Vitamina C, Manteca de Karité",10.21
5882,RegenX 268,Todo tipo,"Vitamina C, Urea, Glicerina, Ácido Hialurónico",84.65
5883,Fresh Dew 252,Seca,"Ácido Ferúlico, Peptidos, Zinc",139.13
5884,BrightFix 174,Sensible,"Agua Termal, Aceite de Jojoba, Vitamina C",174.28
5885,Clear Skin 152,Seca,"Aceite de Jojoba, Avena Coloidal, Manteca de Karité",25.2
5886,SunShield 215,Madura,"Aceite de Jojoba, Avena Coloidal, Extracto de Té Verde, Aloe Vera",178.27
5887,RegenX 136,Mixta,"Agua Termal, Pantenol, Peptidos",118.02
5888,Daily Moist 124,Seca,"Ácido Hialurónico, Aceite de Jojoba, Ácido Láctico, Agua Termal",146.5
5889,Aqua Balm 239,Madura,"Avena Coloidal, Glicerina, Aloe Vera, Extracto de Té Verde",160.35
5890,Glow Serum 115,Todo tipo,"Vitamina C, Ácido Ferúlico, Aceite de Jojoba, Pantenol",185.76
5891,AgeDefy 83,Grasa,"Avena Coloidal, Manteca de Karité, Ácido Salicílico",141.91
5892,Daily Moist 284,Mixta,"Vitamina C, Niacinamida",12.63
5893,Fresh Dew 90,Grasa,"Manteca de Karité, Peptidos, Pantenol",44.33
5894,DermaFix 61,Normal,"Extracto de Té Verde, Niacinamida, Manteca de Karité",37.91
5895,AgeDefy 276,Madura,"Zinc, Niacinamida, Ceramidas, Vitamina C",135.5
5896,Radiant Day 253,Sensible,"Pantenol, Niacinamida",9.11
5897,NutriGlow 9,Madura,"Urea, Extracto de Té Verde, Ácido Ferúlico",172.13
5898,AcneFree 261,Normal,"Pantenol, Retinol",26.36
5899,Fresh Dew 83,Acneica,"Manteca de Karité, Retinol, Ácido Hialurónico",130.94
5900,Clear Skin 267,Grasa,"Manteca de Karité, Ácido Hialurónico, Extracto de Té Verde, Aloe Vera",56.49
5901,CeraPlus 39,Seca,"Ácido Ferúlico, Ácido Láctico, Avena Coloidal",160.93
5902,Silky Touch 229,Madura,"Urea, Aloe Vera",49.66
5903,AcneFree 263,Normal,"Niacinamida, Ácido Ferúlico, Pantenol",122.65
5904,AcneFree 110,Grasa,"Ceramidas, Ácido Ferúlico, Retinol, Vitamina C",120.67
5905,Daily Moist 232,Grasa,"Vitamina C, Ceramidas, Urea",109.4
5906,Hydra Boost 190,Madura,"Manteca de Karité, Ácido Ferúlico, Pantenol",57.96
5907,RegenX 227,Acneica,"Niacinamida, Retinol, Agua Termal, Aceite de Jojoba",158.42
5908,Radiant Day 1,Normal,"Ceramidas, Peptidos, Zinc, Ácido Hialurónico",162.37
5909,Clear Skin 19,Normal,"Ácido Hialurónico, Pantenol, Avena Coloidal, Aceite de Jojoba",67.66
5910,NutriGlow 84,Madura,"Extracto de Té Verde, Glicerina, Retinol, Peptidos",161.88
5911,AgeDefy 205,Sensible,"Extracto de Té Verde, Ácido Ferúlico, Peptidos, Pantenol",38.12
5912,OilControl 153,Normal,"Pantenol, Ácido Salicílico",23.82
5913,NutriGlow 262,Seca,"Aceite de Jojoba, Zinc, Urea, Avena Coloidal",100.44
5914,AcneFree 278,Sensible,"Avena Coloidal, Ácido Hialurónico",94.22
5915,DermaFix 73,Todo tipo,"Pantenol, Manteca de Karité",8.7
5916,DermaFix 163,Madura,"Glicerina, Vitamina C",164.4
5917,AcneFree 33,Normal,"Peptidos, Urea",51.91
5918,UltraSmooth 107,Seca,"Aloe Vera, Agua Termal, Manteca de Karité, Ácido Ferúlico",110.48
5919,RegenX 70,Madura,"Zinc, Agua Termal",170.65
5920,OilControl 253,Normal,"Zinc, Ácido Salicílico, Niacinamida",151.45
5921,RegenX 285,Madura,"Ácido Hialurónico, Peptidos, Avena Coloidal",154.8
5922,AgeDefy 25,Madura,"Retinol, Urea, Zinc, Aceite de Jojoba",39.66
5923,Hydra Boost 38,Mixta,"Retinol, Manteca de Karité, Urea",107.74
5924,UltraSmooth 157,Sensible,"Ácido Salicílico, Avena Coloidal, Pantenol, Niacinamida",169.8
5925,CeraPlus 61,Seca,"Agua Termal, Pantenol",149.03
5926,NutriGlow 254,Normal,"Aceite de Jojoba, Glicerina, Agua Termal, Ácido Láctico",18.16
5927,AcneFree 66,Sensible,"Zinc, Urea, Retinol",166.07
5928,Silky Touch 1,Acneica,"Agua Termal, Peptidos, Ácido Salicílico, Aceite de Jojoba",177.4
5929,Daily Moist 34,Grasa,"Extracto de Té Verde, Avena Coloidal",23.13
5930,Clear Skin 139,Grasa,"Vitamina C, Ácido Salicílico",98.63
5931,Clear Skin 132,Sensible,"Aloe Vera, Niacinamida",161.34
5932,Fresh Dew 223,Normal,"Avena Coloidal, Glicerina, Urea, Peptidos",128.29
5933,AgeDefy 211,Normal,"Retinol, Zinc, Ácido Salicílico, Glicerina",18.01
5934,BrightFix 4,Grasa,"Aloe Vera, Ácido Ferúlico, Glicerina, Manteca de Karité",151.69
5935,CeraPlus 199,Normal,"Vitamina C, Avena Coloidal",103.42
5936,BrightFix 280,Sensible,"Zinc, Manteca de Karité, Peptidos, Extracto de Té Verde",100.7
5937,CeraPlus 77,Todo tipo,"Ceramidas, Ácido Ferúlico",44.84
5938,RegenX 122,Seca,"Aloe Vera, Ácido Láctico, Manteca de Karité",116.49
5939,NightCare 67,Acneica,"Peptidos, Aloe Vera, Retinol",66.28
5940,SunShield 267,Todo tipo,"Extracto de Té Verde, Glicerina, Ácido Hialurónico",59.94
5941,SunShield 296,Acneica,"Ácido Salicílico, Avena Coloidal, Aloe Vera",61.86
5942,BrightFix 249,Todo tipo,"Aceite de Jojoba, Ácido Salicílico, Aloe Vera",99.4
5943,Silky Touch 131,Todo tipo,"Avena Coloidal, Ceramidas, Extracto de Té Verde",95.35
5944,AcneFree 298,Grasa,"Manteca de Karité, Zinc",127.78
5945,SkinPure 16,Madura,"Extracto de Té Verde, Peptidos, Aceite de Jojoba, Glicerina",66.63
5946,Clear Skin 122,Mixta,"Glicerina, Ácido Hialurónico",125.74
5947,Clear Skin 289,Normal,"Retinol, Ácido Salicílico",141.3
5948,Radiant Day 42,Normal,"Ácido Láctico, Vitamina C, Agua Termal",73.23
5949,Clear Skin 161,Sensible,"Pantenol, Zinc, Aceite de Jojoba, Ácido Hialurónico",108.38
5950,Fresh Dew 106,Seca,"Avena Coloidal, Agua Termal, Ácido Láctico, Peptidos",74.83
5951,NutriGlow 244,Sensible,"Vitamina C, Ácido Hialurónico",121.99
5952,AcneFree 4,Seca,"Niacinamida, Glicerina, Extracto de Té Verde",33.05
5953,SunShield 264,Normal,"Ácido Salicílico, Pantenol",159.19
5954,UltraSmooth 251,Mixta,"Ceramidas, Extracto de Té Verde, Glicerina, Aloe Vera",186.24
5955,OilControl 235,Seca,"Glicerina, Vitamina C, Pantenol, Niacinamida",173.55
5956,AcneFree 65,Mixta,"Ácido Hialurónico, Ácido Láctico, Peptidos",106.73
5957,OilControl 59,Seca,"Zinc, Vitamina C, Aloe Vera",157.03
5958,OilControl 110,Grasa,"Manteca de Karité, Urea, Ácido Salicílico, Niacinamida",133.51
5959,Hydra Boost 7,Madura,"Avena Coloidal, Peptidos, Extracto de Té Verde",107.65
5960,AcneFree 201,Madura,"Peptidos, Aceite de Jojoba, Ceramidas",101.98
5961,Hydra Boost 71,Madura,"Peptidos, Zinc, Ácido Láctico",126.86
5962,NutriGlow 142,Seca,"Pantenol, Zinc, Ácido Salicílico, Manteca de Karité",62.22
5963,DermaFix 100,Normal,"Ácido Hialurónico, Manteca de Karité, Retinol, Aceite de Jojoba",118.45
5964,Hydra Boost 138,Madura,"Retinol, Manteca de Karité, Ceramidas",101.7
5965,NutriGlow 116,Madura,"Agua Termal, Ceramidas, Retinol, Peptidos",196.23
5966,Aqua Balm 101,Todo tipo,"Niacinamida, Agua Termal, Pantenol, Ácido Ferúlico",100.59
5967,Hydra Boost 13,Todo tipo,"Pantenol, Extracto de Té Verde, Ácido Láctico, Glicerina",121.5
5968,RegenX 136,Grasa,"Ácido Ferúlico, Pantenol, Niacinamida",69.13
5969,Glow Serum 251,Seca,"Pantenol, Retinol",179.66
5970,SkinPure 278,Acneica,"Retinol, Avena Coloidal, Glicerina",170.82
5971,SkinPure 162,Madura,"Retinol, Ácido Salicílico, Agua Termal",144.77
5972,UltraSmooth 215,Normal,"Retinol, Avena Coloidal, Urea",145.82
5973,CeraPlus 26,Sensible,"Zinc, Retinol, Ácido Láctico",161.14
5974,Hydra Boost 156,Todo tipo,"Extracto de Té Verde, Vitamina C",194.29
5975,Daily Moist 77,Grasa,"Retinol, Manteca de Karité, Aceite de Jojoba, Pantenol",88.14
5976,NutriGlow 146,Todo tipo,"Ácido Hialurónico, Ceramidas, Ácido Ferúlico",7.1
5977,RegenX 199,Sensible,"Ácido Ferúlico, Avena Coloidal",161.22
5978,Radiant Day 240,Normal,"Niacinamida, Avena Coloidal, Ceramidas",156.42
5979,SkinPure 261,Seca,"Retinol, Agua Termal, Aceite de Jojoba",167.76
5980,AgeDefy 53,Madura,"Ácido Láctico, Urea, Manteca de Karité",23.45
5981,RegenX 11,Madura,"Ácido Hialurónico, Retinol, Ácido Láctico, Ácido Salicílico",131.41
5982,Radiant Day 177,Sensible,"Ácido Láctico, Pantenol, Extracto de Té Verde, Aloe Vera",49.28
5983,NutriGlow 188,Normal,"Ácido Salicílico, Aceite de Jojoba",83.15
5984,RegenX 214,Madura,"Ácido Láctico, Agua Termal, Extracto de Té Verde, Glicerina",194.6
5985,SunShield 132,Seca,"Pantenol, Avena Coloidal, Ácido Hialurónico",59.08
5986,UltraSmooth 118,Todo tipo,"Ácido Láctico, Manteca de Karité, Retinol, Ceramidas",169.24
5987,Glow Serum 208,Todo tipo,"Vitamina C, Aloe Vera, Ácido Salicílico, Extracto de Té Verde",107.77
5988,Hydra Boost 146,Sensible,"Ácido Ferúlico, Urea",110.14
5989,Glow Serum 158,Seca,"Vitamina C, Pantenol, Ácido Salicílico",35.35
5990,Glow Serum 51,Todo tipo,"Urea, Aceite de Jojoba",153.05
5991,OilControl 159,Seca,"Aloe Vera, Ceramidas",12.52
5992,RegenX 266,Madura,"Agua Termal, Pantenol, Ácido Ferúlico, Aloe Vera",165.01
5993,UltraSmooth 199,Sensible,"Manteca de Karité, Aceite de Jojoba, Peptidos",30.85
5994,Fresh Dew 270,Normal,"Manteca de Karité, Ácido Ferúlico, Ácido Hialurónico, Agua Termal",50.38
5995,CeraPlus 7,Sensible,"Avena Coloidal, Peptidos, Ácido Salicílico",103.15
5996,DermaFix 264,Sensible,"Urea, Ácido Salicílico, Extracto de Té Verde",26.33
5997,AgeDefy 216,Todo tipo,"Extracto de Té Verde, Ácido Hialurónico",39.2
5998,SkinPure 127,Normal,"Zinc, Ácido Láctico, Pantenol",199.03
5999,CeraPlus 84,Sensible,"Avena Coloidal, Ácido Láctico, Ácido Ferúlico, Pantenol",93.24
6000,Clear Skin 227,Normal,"Ácido Ferúlico, Aceite de Jojoba, Zinc",149.9
6001,AgeDefy 44,Normal,"Ácido Hialurónico, Aceite de Jojoba, Ácido Láctico, Pantenol",76.86
6002,BrightFix 60,Grasa,"Ácido Salicílico, Aloe Vera",5.01
6003,OilControl 89,Normal,"Ácido Hialurónico, Zinc, Extracto de Té Verde",116.29
6004,Daily Moist 161,Grasa,"Ácido Hialurónico, Pantenol, Urea",197.49
6005,Aqua Balm 196,Acneica,"Manteca de Karité, Niacinamida, Aloe Vera",187.34
6006,UltraSmooth 226,Mixta,"Aceite de Jojoba, Urea",95.94
6007,UltraSmooth 241,Madura,"Avena Coloidal, Agua Termal, Vitamina C, Ácido Ferúlico",136.19
6008,Clear Skin 217,Seca,"Agua Termal, Pantenol, Peptidos",143.62
6009,Fresh Dew 225,Mixta,"Vitamina C, Agua Termal",168.37
6010,Clear Skin 190,Acneica,"Urea, Glicerina, Manteca de Karité, Ácido Salicílico",155.8
6011,Hydra Boost 55,Acneica,"Urea, Zinc, Extracto de Té Verde, Aloe Vera",183.95
6012,Fresh Dew 63,Normal,"Vitamina C, Agua Termal",44.1
6013,Fresh Dew 162,Mixta,"Aceite de Jojoba, Glicerina, Agua Termal, Extracto de Té Verde",30.37
6014,UltraSmooth 120,Madura,"Extracto de Té Verde, Ceramidas, Agua Termal",106.36
6015,RegenX 47,Madura,"Avena Coloidal, Vitamina C, Aceite de Jojoba, Retinol",54.16
6016,OilControl 297,Seca,"Avena Coloidal, Ácido Hialurónico, Ácido Salicílico, Agua Termal",59.34
6017,CeraPlus 33,Seca,"Vitamina C, Extracto de Té Verde, Aceite de Jojoba",87.72
6018,BrightFix 87,Madura,"Agua Termal, Niacinamida, Peptidos",34.89
6019,Radiant Day 176,Seca,"Glicerina, Aceite de Jojoba, Ácido Salicílico",130.29
6020,AgeDefy 293,Seca,"Aceite de Jojoba, Extracto de Té Verde",141.82
6021,Aqua Balm 263,Madura,"Extracto de Té Verde, Vitamina C, Ácido Láctico",170.59
6022,Fresh Dew 300,Mixta,"Niacinamida, Ácido Salicílico",156.76
6023,DermaFix 159,Grasa,"Glicerina, Niacinamida, Ácido Ferúlico",110.71
6024,Silky Touch 63,Normal,"Extracto de Té Verde, Glicerina, Ácido Ferúlico",101.57
6025,Hydra Boost 63,Sensible,"Vitamina C, Manteca de Karité, Retinol",123.38
6026,DermaFix 238,Acneica,"Manteca de Karité, Aloe Vera, Niacinamida, Avena Coloidal",199.52
6027,NightCare 145,Seca,"Niacinamida, Vitamina C",109.61
6028,Radiant Day 48,Seca,"Avena Coloidal, Ceramidas",138.83
6029,SunShield 58,Todo tipo,"Glicerina, Ceramidas, Agua Termal, Vitamina C",7.68
6030,AgeDefy 208,Mixta,"Ácido Láctico, Glicerina, Avena Coloidal, Extracto de Té Verde",65.2
6031,Hydra Boost 119,Acneica,"Ácido Hialurónico, Avena Coloidal",11.94
6032,BrightFix 153,Todo tipo,"Peptidos, Aceite de Jojoba",22.31
6033,SkinPure 200,Sensible,"Glicerina, Ácido Ferúlico",23.97
6034,AcneFree 125,Madura,"Vitamina C, Agua Termal, Manteca de Karité, Ácido Hialurónico",111.17
6035,SkinPure 170,Seca,"Ácido Hialurónico, Zinc",63.38
6036,AgeDefy 59,Sensible,"Aceite de Jojoba, Ácido Láctico",101.8
6037,DermaFix 85,Seca,"Peptidos, Aceite de Jojoba, Pantenol, Zinc",149.3
6038,AgeDefy 103,Sensible,"Ácido Hialurónico, Pantenol, Manteca de Karité, Ácido Ferúlico",140.03
6039,Fresh Dew 111,Mixta,"Ácido Hialurónico, Glicerina",43.0
6040,RegenX 34,Mixta,"Ácido Salicílico, Glicerina, Ácido Ferúlico, Vitamina C",147.56
6041,Clear Skin 256,Normal,"Agua Termal, Ácido Láctico",86.66
6042,Radiant Day 173,Acneica,"Aloe Vera, Glicerina",150.62
6043,Radiant Day 148,Grasa,"Pantenol, Retinol, Peptidos, Urea",197.76
6044,SunShield 270,Todo tipo,"Extracto de Té Verde, Aloe Vera",74.65
6045,Clear Skin 297,Mixta,"Manteca de Karité, Urea",176.24
6046,SunShield 265,Mixta,"Zinc, Extracto de Té Verde, Niacinamida, Aloe Vera",34.44
6047,NightCare 280,Acneica,"Aceite de Jojoba, Zinc, Niacinamida, Vitamina C",93.46
6048,Radiant Day 215,Seca,"Peptidos, Niacinamida, Ácido Hialurónico",31.95
6049,RegenX 154,Todo tipo,"Ácido Ferúlico, Aloe Vera, Glicerina",93.09
6050,NightCare 242,Madura,"Aceite de Jojoba, Urea, Agua Termal, Aloe Vera",140.63
6051,SkinPure 50,Seca,"Glicerina, Manteca de Karité, Ácido Láctico, Niacinamida",187.71
6052,NutriGlow 284,Todo tipo,"Ácido Láctico, Ácido Ferúlico",170.36
6053,AgeDefy 298,Grasa,"Ácido Láctico, Ácido Ferúlico, Ácido Hialurónico, Glicerina",115.4
6054,Glow Serum 14,Grasa,"Aloe Vera, Manteca de Karité, Niacinamida, Pantenol",61.11
6055,Glow Serum 288,Normal,"Ácido Láctico, Extracto de Té Verde, Ácido Hialurónico, Peptidos",117.13
6056,BrightFix 246,Grasa,"Agua Termal, Ácido Láctico, Vitamina C",48.93
6057,UltraSmooth 102,Normal,"Ceramidas, Ácido Salicílico, Aloe Vera",141.96
6058,Daily Moist 49,Madura,"Ácido Láctico, Retinol",51.1
6059,NightCare 284,Madura,"Niacinamida, Zinc",38.91
6060,Glow Serum 261,Normal,"Retinol, Ácido Hialurónico, Vitamina C, Niacinamida",174.01
6061,Daily Moist 214,Normal,"Retinol, Glicerina, Peptidos, Agua Termal",86.72
6062,Radiant Day 9,Acneica,"Aceite de Jojoba, Pantenol, Niacinamida",163.58
6063,DermaFix 228,Seca,"Ácido Láctico, Glicerina, Ceramidas, Pantenol",48.67
6064,SkinPure 104,Todo tipo,"Retinol, Ácido Hialurónico, Glicerina, Aceite de Jojoba",29.48
6065,UltraSmooth 176,Seca,"Aceite de Jojoba, Ceramidas, Ácido Salicílico",117.24
6066,OilControl 109,Seca,"Aceite de Jojoba, Ácido Láctico, Ácido Ferúlico",199.79
6067,Daily Moist 185,Acneica,"Aloe Vera, Peptidos, Manteca de Karité",17.26
6068,DermaFix 179,Sensible,"Agua Termal, Aceite de Jojoba",132.94
6069,Silky Touch 11,Todo tipo,"Zinc, Agua Termal, Niacinamida",116.72
6070,Radiant Day 59,Mixta,"Zinc, Ácido Salicílico, Manteca de Karité, Peptidos",171.13
6071,Radiant Day 216,Sensible,"Ácido Láctico, Aloe Vera, Aceite de Jojoba",13.56
6072,Silky Touch 65,Normal,"Vitamina C, Agua Termal, Glicerina",33.06
6073,RegenX 64,Normal,"Niacinamida, Agua Termal",72.47
6074,RegenX 46,Mixta,"Niacinamida, Ácido Salicílico",174.68
6075,AcneFree 201,Todo tipo,"Peptidos, Niacinamida, Retinol",54.55
6076,Radiant Day 292,Acneica,"Ácido Hialurónico, Peptidos, Aloe Vera, Ceramidas",49.32
6077,Hydra Boost 72,Mixta,"Ácido Láctico, Glicerina, Ácido Hialurónico, Vitamina C",74.66
6078,Glow Serum 77,Madura,"Aloe Vera, Ceramidas",168.27
6079,Hydra Boost 8,Normal,"Aceite de Jojoba, Vitamina C",94.96
6080,Fresh Dew 80,Todo tipo,"Niacinamida, Manteca de Karité, Aceite de Jojoba, Vitamina C",99.35
6081,Fresh Dew 222,Grasa,"Ceramidas, Retinol",131.93
6082,Aqua Balm 209,Mixta,"Extracto de Té Verde, Glicerina, Agua Termal",183.03
6083,Silky Touch 68,Normal,"Zinc, Pantenol",184.07
6084,Fresh Dew 148,Mixta,"Pantenol, Ácido Ferúlico, Manteca de Karité",85.37
6085,CeraPlus 134,Normal,"Niacinamida, Avena Coloidal, Ácido Salicílico, Aceite de Jojoba",143.03
6086,NutriGlow 154,Sensible,"Aloe Vera, Vitamina C",150.1
6087,SkinPure 273,Grasa,"Vitamina C, Aloe Vera",131.11
6088,Aqua Balm 267,Grasa,"Peptidos, Niacinamida, Retinol, Vitamina C",96.44
6089,Glow Serum 178,Todo tipo,"Glicerina, Zinc",167.91
6090,OilControl 126,Grasa,"Aceite de Jojoba, Extracto de Té Verde",83.11
6091,Daily Moist 100,Sensible,"Vitamina C, Aloe Vera, Agua Termal",71.43
6092,DermaFix 128,Madura,"Extracto de Té Verde, Aceite de Jojoba",132.61
6093,AcneFree 118,Todo tipo,"Agua Termal, Extracto de Té Verde",185.07
6094,Hydra Boost 118,Seca,"Agua Termal, Peptidos, Avena Coloidal, Niacinamida",103.79
6095,Glow Serum 194,Todo tipo,"Glicerina, Urea",155.07
6096,Fresh Dew 61,Mixta,"Glicerina, Retinol",37.84
6097,NutriGlow 98,Sensible,"Peptidos, Agua Termal, Avena Coloidal, Vitamina C",19.0
6098,Aqua Balm 145,Grasa,"Extracto de Té Verde, Agua Termal, Aloe Vera, Ácido Láctico",199.19
6099,UltraSmooth 151,Sensible,"Urea, Agua Termal",39.42
6100,Glow Serum 175,Acneica,"Glicerina, Ceramidas, Urea",32.06
6101,DermaFix 204,Todo tipo,"Manteca de Karité, Urea, Ácido Salicílico",6.02
6102,NightCare 84,Madura,"Retinol, Agua Termal",171.77
6103,NightCare 175,Sensible,"Retinol, Glicerina",196.45
6104,BrightFix 134,Todo tipo,"Manteca de Karité, Glicerina",79.92
6105,SkinPure 266,Acneica,"Ácido Hialurónico, Aceite de Jojoba",72.05
6106,SunShield 255,Acneica,"Ácido Hialurónico, Peptidos, Aceite de Jojoba, Retinol",156.42
6107,BrightFix 96,Seca,"Extracto de Té Verde, Ácido Láctico, Aloe Vera",123.52
6108,Clear Skin 126,Mixta,"Ácido Láctico, Avena Coloidal",117.95
6109,Radiant Day 277,Sensible,"Ceramidas, Vitamina C, Ácido Ferúlico, Manteca de Karité",88.11
6110,Fresh Dew 98,Todo tipo,"Peptidos, Ácido Ferúlico, Urea",96.87
6111,RegenX 246,Seca,"Retinol, Ácido Láctico",67.97
6112,Silky Touch 63,Mixta,"Agua Termal, Ácido Salicílico, Ceramidas, Aloe Vera",102.95
6113,CeraPlus 43,Acneica,"Aloe Vera, Glicerina, Aceite de Jojoba",136.41
6114,RegenX 8,Grasa,"Ácido Ferúlico, Manteca de Karité, Niacinamida",181.86
6115,Aqua Balm 84,Grasa,"Vitamina C, Urea",199.8
6116,Fresh Dew 76,Normal,"Vitamina C, Agua Termal, Ácido Ferúlico, Niacinamida",38.69
6117,AgeDefy 45,Seca,"Zinc, Retinol, Glicerina",14.07
6118,Clear Skin 219,Grasa,"Zinc, Agua Termal, Avena Coloidal",15.16
6119,DermaFix 106,Sensible,"Peptidos, Ácido Hialurónico, Agua Termal",196.54
6120,AcneFree 29,Grasa,"Extracto de Té Verde, Aloe Vera, Ácido Hialurónico",186.88
6121,DermaFix 73,Mixta,"Vitamina C, Zinc, Aceite de Jojoba, Glicerina",146.96
6122,SunShield 234,Sensible,"Agua Termal, Zinc, Peptidos",149.77
6123,BrightFix 26,Todo tipo,"Ácido Ferúlico, Pantenol, Ceramidas",160.49
6124,Radiant Day 184,Grasa,"Glicerina, Aloe Vera, Ceramidas",105.68
6125,UltraSmooth 215,Normal,"Manteca de Karité, Ácido Ferúlico, Retinol",7.64
6126,NightCare 139,Normal,"Ceramidas, Avena Coloidal, Agua Termal",133.49
6127,Silky Touch 179,Sensible,"Ácido Ferúlico, Ácido Láctico, Aloe Vera",138.93
6128,OilControl 168,Grasa,"Manteca de Karité, Ceramidas, Pantenol, Retinol",106.88
6129,OilControl 53,Grasa,"Retinol, Ácido Láctico, Ceramidas",101.76
6130,NightCare 151,Sensible,"Glicerina, Aloe Vera",86.11
6131,DermaFix 183,Madura,"Aloe Vera, Glicerina, Zinc, Niacinamida",173.29
6132,BrightFix 41,Sensible,"Agua Termal, Retinol",67.86
6133,SkinPure 138,Normal,"Ácido Salicílico, Extracto de Té Verde, Aloe Vera",124.6
6134,AcneFree 88,Grasa,"Ácido Salicílico, Agua Termal, Avena Coloidal",177.35
6135,Fresh Dew 57,Mixta,"Aceite de Jojoba, Zinc, Extracto de Té Verde",8.28
6136,Silky Touch 99,Acneica,"Ácido Ferúlico, Peptidos, Aceite de Jojoba, Ácido Láctico",156.14
6137,Radiant Day 241,Todo tipo,"Niacinamida, Retinol",159.21
6138,Aqua Balm 152,Normal,"Avena Coloidal, Aceite de Jojoba",139.64
6139,NightCare 99,Grasa,"Pantenol, Niacinamida, Ácido Hialurónico",140.12
6140,RegenX 209,Grasa,"Retinol, Ácido Láctico, Aceite de Jojoba, Ácido Hialurónico",180.99
6141,AcneFree 98,Grasa,"Manteca de Karité, Zinc, Vitamina C",139.98
6142,RegenX 212,Mixta,"Manteca de Karité, Aloe Vera, Ácido Salicílico, Extracto de Té Verde",54.62
6143,DermaFix 12,Normal,"Ácido Láctico, Avena Coloidal, Extracto de Té Verde",115.63
6144,NutriGlow 243,Acneica,"Ácido Salicílico, Ácido Hialurónico",198.78
6145,RegenX 130,Sensible,"Avena Coloidal, Ceramidas",41.94
6146,Clear Skin 295,Mixta,"Aloe Vera, Avena Coloidal",25.94
6147,SkinPure 180,Acneica,"Agua Termal, Ácido Hialurónico, Peptidos, Retinol",23.87
6148,SunShield 270,Normal,"Ácido Láctico, Aceite de Jojoba",64.95
6149,NightCare 268,Mixta,"Manteca de Karité, Avena Coloidal",13.6
6150,Fresh Dew 257,Acneica,"Glicerina, Ácido Ferúlico, Ácido Láctico",123.66
6151,Silky Touch 116,Acneica,"Ácido Ferúlico, Ácido Salicílico, Vitamina C",34.65
6152,RegenX 30,Grasa,"Zinc, Pantenol",176.92
6153,Glow Serum 177,Madura,"Pantenol, Avena Coloidal, Aceite de Jojoba, Ceramidas",173.34
6154,UltraSmooth 30,Grasa,"Zinc, Aceite de Jojoba",198.05
6155,NightCare 199,Sensible,"Urea, Extracto de Té Verde",168.32
6156,Silky Touch 107,Mixta,"Extracto de Té Verde, Ácido Ferúlico, Pantenol",55.09
6157,CeraPlus 252,Todo tipo,"Agua Termal, Niacinamida, Urea, Avena Coloidal",176.38
6158,Silky Touch 153,Sensible,"Retinol, Ácido Hialurónico",165.23
6159,SunShield 171,Sensible,"Ácido Hialurónico, Vitamina C, Extracto de Té Verde",127.35
6160,AgeDefy 258,Mixta,"Ácido Hialurónico, Retinol, Urea",71.01
6161,NutriGlow 201,Sensible,"Ácido Hialurónico, Glicerina, Avena Coloidal",32.27
6162,Radiant Day 92,Grasa,"Ácido Salicílico, Glicerina, Urea, Niacinamida",188.79
6163,SunShield 124,Normal,"Ácido Hialurónico, Ceramidas",93.3
6164,Aqua Balm 10,Normal,"Niacinamida, Peptidos, Manteca de Karité, Pantenol",147.11
6165,Silky Touch 121,Todo tipo,"Peptidos, Avena Coloidal",72.43
6166,Radiant Day 60,Mixta,"Pantenol, Urea, Aceite de Jojoba, Zinc",61.16
6167,NightCare 185,Grasa,"Ácido Salicílico, Pantenol",62.26
6168,SunShield 23,Madura,"Zinc, Ceramidas, Aloe Vera, Retinol",191.01
6169,Silky Touch 265,Seca,"Glicerina, Ácido Hialurónico, Ácido Láctico, Aloe Vera",77.13
